Abh. Chin.	Abhidhāna‑Chintāmaṇi‑Kośa.
Ait. Ar.	Aitareya Āraṇyaka.
Ait. Up.	Aitareya Upaniṣad.
Aman. Up.	Amanasopaniṣad.
AVP.	Atharva Veda Prātiśākhya.
Buddh.	Buddhist literature.
Chola‑Champu	Edited by Dr. Raghavan.
C P.	Copper‑plates.
Dharmabhyudaya	
Mahākāvya.	Edited by Dr. Raghavan.
Dhyan. Up.	Dhyānabindu‑Upaniṣad.
EI., Ep. Ind.	Epigraphia Indica.
GI.	Gupta Inscriptions by Fleet.
I B.	Inscriptions of Bengal, Vol. III by N. G. Mujumdar.
Inscr.	Inscriptions.
Jag.	Jagannātha Paṇḍit.
K. R.	Kavi‑Rahasya.
Lm.	Laghu‑mañjūsā.
Mahānār. Up.	Mahānārāyaṇa‑Upaniṣad.
Naigh.	Naighantuka by Yāska.
Nigh. Ratn.	Nighaṇṭa‑Ratnākara.
Nri. P. Up.	Nṛsiṁha‑pūrvatāpinī‑Upaniṣad.
Pari. Sekh, Pbh.	Paribhāṣenduśekhara.
Pb.	Paribhāṣā.
Pradip.	Mahābhāṣya‑Pradīpa (Kaiyaṭa).
Pś.	Paṇinīya Śikṣā.
PS.	Pāṇinīya Sūtra.
Pur. Pv.	Puruṣottama‑Paribhāṣā‑vṛtti.
Rs.	Ritusamhāra.
Sahendra.	Sāhendravilāsa, edited by Dr. Raghavan.
Salihotra	Salihotra of Bhoja, edited by Dr. E. D. Kulkarni.
Śānti.	Śāntiśataka.
Sārang. S.	Śārṅgadhara Saṁhitā.
ŚB. on MS.	Śābarabhāṣya on Mīmāṁsā Sūtras.
Śik. s.	Śikṣā‑Saṅgraha.
Sinhas.	Sinhāsana‑dvātriṁśikā.
Sīr. Pv.	Sīrdeva’s Paribhāṣā‑vṛtti.
Svapna.	Svapnavāsavadatta.
Śs.	Śrauta‑sūtra.
Taitt. Sam.	Taittirīya Saṁhitā.
Tp.	Taittirīya Prātiśākhya.
Un.	Uṇādisūtras (new references from letter 9 taken from T. R. Chintamani’s 1933 edition).
Vai. Bhu.	Vaiyākaraṇa‑bhūṣaṇa‑sāra.
Vbh.	Vaidikabharaṇa (a commentary on Taittirīya Prātiśākhya).
Vp.	Vājasaneyī Prātiśākhya.
