Abh. Chin.	Abhidhāna‑Chintāmaṇi‑Kośa.
Ait. Ār.	Aitareya Āraṇyaka.
Ait. Up.	Aitareya Upaniṣad.
Aman. Up.	Amanasopaniṣad.
AVP.	Atharva Veda Prātiśākhya.
Buddh.	Buddhist literature.
Chola‑Champū	Edited by Dr. Raghavan.
C P.	Copper‑plates.
Dharmabhyudaya Mahākāvya.	Edited by Dr. Raghavan.
Dhyān. Up.	Dhyānabindu‑Upaniṣad.
EI.	Epigraphia Indica.
Ep. Ind.	Epigraphia Indica.
GI.	Gupta Inscriptions by Fleet.
I B.	Inscriptions of Bengal, Vol. III by N. G. Mujumdar.
Inscr.	Inscriptions.
Jag.	Jagannātha Paṇḍit.
K. R.	Kavi‑Rahasya.
Lm.	Laghu‑mañjūsā.
Mahānār. Up.	Mahānārāyaṇopaniṣad.
Naigh.	Naighaṇṭuka by Yāska.
Nigh. Ratn.	Nighaṇṭa‑Ratnākara.
Nṛi. P. Up.	Nṛsiṁha‑pūrvatāpinyupaniṣad.
Pari. Śekh, Pbh.	Paribhāṣenduśekhara.
Pb.	Paribhāṣā.
Pradip.	Mahābhāṣya‑Pradīpa (Kaiyaṭa).
Pś.	Paṇinīya Śikṣā.
PS.	Pāṇinīya Sūtra.
Pur. Pv.	Puruṣottama‑Paribhāṣāvṛtti.
Ṛs.	Ṛitusamhāra.
Śahendra.	Śāhendravilāsa, edited by Dr. Raghavan.
Śalihotra	Śalihotra of Bhoja, edited by Dr. E. D. Kulkarni.
Śānti.	Śāntiśataka.
Sārang. S.	Śāraṅgadhara Saṁhitā.
ŚB. on MS.	Śābarabhāṣya on Mīmāṁsā Sūtras.
Śik. s.	Śikṣā‑Saṅgraha.
Sinhās.	Sinhāsana‑dvātriṁśikā.
Sīr. Pv.	Sīrdeva’s Paribhāṣāvṛtti.
Svapna.	Svapnavāsavadatta.
Śs.	Śrauta‑sūtra.
Taitt. Sam.	Taittirīya Saṁhitā.
Tp.	Taittirīya Prātiśākhya.
Un.	Uṇādisūtras (N.B. new references from the letter प् taken from the work edited by T. R. Chintamani, University of Madras Publication, 1933.)
Vai. Bhū.	(वै. भू.) Vaiyākaraṇa‑bhūṣaṇa‑sāra.
Vbh.	Vaidikabharaṇa (a commentary on Taittirīya Prātiśākhya).
Vp.	Vājasaneyī Prātiśākhya.
