Ā. L.	Ānandalaharī.
A. R.	Anargharāghava (Published in the Kāvyamālā).
A. Rām.	Adhyātma Rāmāyaṇa.
Abh. Chin.	Abhidhāna Chintāmaṇi Kośa.
Ait. Ār.	Aitareya Āraṇyaka.
Ait. Br.	Aitareya Brāhmaṇa, (Bombay).
Ait. Up.	Aitareya Upaniṣad.
Ak.	Amarakoṣa, (Bombay ).
Aman. Up.	Amanasopaniṣad.
Amaru.	Amaruśataka, (Nirṇaya Sāgara, 1916).
Āpast.	Āpastamba.
Āry. S.	Āryavidyāsudhākara, (Bombay).
Āryā. S.	Āryāsaptaśatī (Published in the Kāvyamālā).
Aśvad.	Aśvadhāṭī (Published in the Subhāṣitaratnākara).
Āśval.	Āsvalāyanaʼs Sūtras.
Av.	Atharva-Veda. (ed. by Pandit Satawalekar).
AVP.	Atharva Veda Prātiśākhya.
B. and R.	Bothlingk and Roth.
B. P.	Bhaviṣya Purāṇa.
B. R.	Bālarāmāyaṇa, (Benaras).
Baudhāy.	Baudhāyana.
Bg.	Bhagavadgītā (Tilak Edition).
Bh.	Bhartṛhariʼs three śatakas (the figures 1. 2. 3. after Bh. denoting Śṝngāra˚, Nīti˚, and Vairagya˚). Nīti and Vairāgya—Oriental Publishing Company (Bombay). Śṛngāra— Nirṇaya Sāgara, 1925.
Bhāg.	Bhāgavata, (V. Ramaswamy Sastrulu & Sons, Madras).
Bhār. Ch.	Bhāratachampū, (Bombay).
Bhāṣā P.	Bhāsāparichchheda.
Bhav. P.	Bhaviṣyottara Purāṇa.
Bhāva P.	Bhāvaprakāśa.
Bīj.	Bījaganita.
Bil. Ch.	Bilhaṇacharitam.
Bk.	Bhaṭṭikāvya, (Nirṇaya Sāgara, 1928).
Bm.	Bhāratamañjarī.
Bop.	Vopadeva.
Bṛ. Ār. Up.	Bṛhadāraṇyakopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Bṛ. Kath.	Bṛhatkathā.
Bṛ. S.	Varāhamihiraʼs Bṛhatsamhitā, ({#लक्ष्मीवेङ्कटेश्वर प्रेस, कल्याण-मुंबई १८९७#}).
Br. Sūt.	Brahmasūtras.
Bṛ. Up.	Bṛhadāraṇyakopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Brav. P.	Brahmavaivarta Purāṇa.
Bu. Ch.	Buddhacharitam, (A.C. Bhat & Co. 1911).
Buddh.	Buddhist literature.
Bv.	Bhāminīvilāsa, (D. V. Sadhale & Co. Bombay).
Ch. P.	Chaurapañchāśikā.
Ch. Up.	Chhandogyopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Chāṇ.	Chāṇakyaśataka.
Chaṇḍ. K.	Chaṇḍakauśika.
Chand. M.	Chhandomañjarī.
Chandr.	Chandrāloka.
Chāt.	Chātakāṣṭaka (In two parts.)
Chola-Champū.	Edited by Dr. Raghavan.
CP.	Copper-plates.
D. Bhāg.	Devībhāgavata.
D. R.	Daśarūpa (Hallʼs edition).
Dāy.	Dāyabhāga.
Dāy. B.	Dāyabhāga.
Dhan. V.	Dhanañjayavijaya.
Dhanur.	Dhanurveda Samhitā, ({#श्रीवेंकटेश्वर प्रेस, शके १८२३#}).
Dharm.	Dharmaviveka.
Dharmabhyudaya Mahākāvya.	Edited by Dr. Raghavan.
Dhūrt.	Dhūrtasamāgama.
Dhyān. Up.	Dhyānabindūpaniṣad.
Dk.	Daśakumāracharita, (Bombay).
Dṛ. Ś.	Dṛstāntaśataka.
EI.	Epigraphia Indica.
Enm.	Ekārthanāmamālā of Saubhari.
Ep. Ind.	Epigraphia Indica.
G. L.	Gaṅgālaharī.
G. M.	Gaṇaratnamahodadhi of Vardhamāna.
Gaut. S.	Gautamasūtra.
Gaut. Sūt.	Gautamasūtra.
Ghaṭ.	Ghaṭakarparakāvya.
GI.	Gupta Inscriptions by Fleet.
Gīrvāṇa.	गीर्वाण लघुकोश.
Gīt.	Gītagovinda.
Golādh.	Golādhyāya.
H.	Hitopadeśa, (आर्यभूषण प्रेस, पुणें , १९३३).
H. D.	Hamsadūta.
H. Pr.	हितोपदेश-प्रस्ताविका.
Halāy.	Halāyudha.
Hariv.	Harivamśa, ({#चित्रशाळा, पुणें , १९३६#}).
Hch.	Harṣacharita.
Hem.	Hemachandra.
I B.	Inscriptions of Bengal, Vol. III by N. G. Mujumdar.
Inscr.	Inscriptions.
Īśop.	Īśopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
J. N. V.	Jaiminīyanyāyamālāvistara, (Goldstückerʼs Edition.)
Jag.	Jagannātha Pandit.
K.	Kādambarī, (Bombay).
K. P.	Kāvyaprakāśa.
K. R.	Kavi-Rahasya.
Kām.	Kāmandakinītisāra.
