A. L.	Ānandalaharī.
A. R.	Anargharāghava (Published in the Kāvyamālā).
A. Rām.	Adhyātma Rāmāyaṇa.
AVP.	Atharva Veda Prātiśākhya.
Abh. Chin.	Abhidhāna Chintāmaṇi Kośa.
Ait. Br.	Aitareya Brāhmaṇa, (Bombay).
Ait. Up.	Aitareya Upaniṣad.
Ait. Ār.	Aitareya Āraṇyaka.
Ak.	Amarakoṣa, (Bombay ).
Aman. Up.	Amanasopaniṣad.
Amaru.	Amaruśataka, (Nirṇaya Sāgara, 1916).
Av.	Atharva-Veda. (ed. by Pandit Satawalekar).
Aśvad.	Aśvadhāṭī (Published in the Subhāṣitaratnākara).
B. P.	Bhaviṣya Purāṇa.
B. R.	Bālarāmāyaṇa, (Benaras).
B. and R.	Bothlingk and Roth.
Baudhāy.	Baudhāyana.
Bg.	Bhagavadgītā (Tilak Edition).
Bh.	Bhartṛhariʼs three śatakas (the figures 1. 2. 3. after Bh. denoting Śṝngāra˚, Nīti˚, and Vairagya˚). Nīti and Vairāgya—Oriental Publishing Company (Bombay). Śṛngāra— Nirṇaya Sāgara, 1925.
Bhar. Ch.	Bhāratachampū, (Bombay).
Bhav. P.	Bhaviṣyottara Purāṇa.
Bhāg.	Bhāgavata, (V. Ramaswamy Sastrulu & Sons, Madras).
Bhāva P.	Bhāvaprakāśa.
Bhāṣā P.	Bhāsāparichchheda.
Bil. Ch.	Bilhaṇacharitam.
Bk.	Bhaṭṭikāvya, (Nirṇaya Sāgara, 1928).
Bm.	Bhāratamañjarī.
Bop.	Vopadeva.
Br. Sūt.	Brahmasūtras.
Brav. P.	Brahmavaivarta Purāṇa.
Bu. Ch.	Buddhacharitam, (A.C. Bhat & Co. 1911).
Buddh.	Buddhist literature.
Bv.	Bhāminīvilāsa, (D. V. Sadhale & Co. Bombay).
Bīj.	Bījaganita.
Bṛ. Ar. Up.	Bṛhadāraṇyakopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Bṛ. Kath.	Bṛhatkathā.
Bṛ. S.	Varāhamihiraʼs Bṛhatsamhitā, (लक्ष्मीवेङ्कटेश्वर प्रेस, कल्याण-मुंबई १८९७).
Bṛ. Up.	Bṛhadāraṇyakopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
CP.	Copper-plates.
Ch. P.	Chaurapañchāśikā.
Ch. Up.	Chhandogyopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Chand. M.	Chhandomañjarī.
Chandr.	Chandrāloka.
Chat.	Chātakāṣṭaka (In two parts.)
Chaṇḍ. K.	Chaṇḍakauśika.
Chola-Champū.	Edited by Dr. Raghavan.
Chān.	Chāṇakyaśataka.
D. Bhag.	Devībhāgavata.
D. R.	Daśarūpa (Hallʼs edition).
Day.	Dayabhāga.
Day. B.	Dayabhāga.
Dhan. V.	Dhanañjayavijaya.
Dhanur.	Dhanurveda Samhitā, (श्रीवेंकटेश्वर प्रेस, शके १८२३).
Dharm.	Dharmaviveka.
Dharmabhyudaya Mahākāvya.	Edited by Dr. Raghavan.
Dhyān. Up.	Dhyānabindūpaniṣad.
Dhūrt.	Dhūrtasamāgama.
Dk.	Daśakumāracharita, (Bombay).
Dṛ. Ś.	Dṛstāntaśataka.
EI.	Epigraphia Indica.
Enm.	Ekārthanāmamālā of Saubhari.
Ep. Ind.	Epigraphia Indica.
G. L.	Gaṅgālaharī.
G. M.	Gaṇaratnamahodadhi of Vardhamāna.
GI.	Gupta Inscriptions by Fleet.
Gaut. S.	Gautamasūtra.
Gaut. Sūt.	Gautamasūtra.
Ghat.	Ghatakarparakāvya.
Golādh.	Golādhyāya.
Gīrvāṇa.	गीर्वाण लघुकोश.
Gīt.	Gītagovinda.
H.	Hitopadeśa, (आर्यभूषण प्रेस, पुणें , १९३३).
H. D.	Hamsadūta.
H. Pr.	हितोपदेश-प्रस्ताविका.
Halāy.	Halāyudha.
Hariv.	Harivamśa, (चित्रशाळा, पुणें , १९३६).
Hch.	Harṣacharita.
Hem.	Hemachandra.
I. B.	Inscriptions of Bengal, Vol. III by N. G. Mujumdar.
Inscr.	Inscriptions.
J. N. V.	Jaiminīyanyāyamālāvistara, (Goldstückerʼs Edition.)
Jag.	Jagannātha Pandit.
K.	Kādambarī, (Bombay).
K. P.	Kāvyaprakāśa.
K. R.	Kavi-Rahasya.
Karpur.	Karpūramañjarī (Published in Kāvyamālā.)
Kau. A.	Kauṭiliya Arthaśāstra, by Dr. Shāma Śastry, 1924.
Kauś.	Kauśikasūtra.
Kauṣ. Br.	Kauṣītaki Brāhmaṇa.
Kauṣ. Up.	Kauṣītakyupaniṣad.
Kaṭh.	Kaṭhopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत १९१४).
