BaseL	AssignedL
5.XYZ	5.002
13.XYZ	13.002
15.XYZ	15.002
22.XYZ	22.002
29.XYZ	29.002
29.XYZ	29.004
29.XYZ	29.006
Lbody:29.XYZ	Lbody:29.004
34.XYZ	34.002
39.XYZ	39.002
41.XYZ	41.002
42.XYZ	42.002
43.XYZ	43.002
44.XYZ	44.002
46.XYZ	46.002
55.XYZ	55.002
56.XYZ	56.002
59.XYZ	59.002
63.XYZ	63.002
64.XYZ	64.002
73.XYZ	73.002
74.XYZ	74.002
75.XYZ	75.002
75.XYZ	75.004
75.XYZ	75.006
Lbody:75.XYZ	Lbody:75.004
75.XYZ	75.008
Lbody:75.XYZ	Lbody:75.004
78.XYZ	78.002
79.XYZ	79.002
82.XYZ	82.002
94.XYZ	94.002
94.XYZ	94.004
Lbody:94.XYZ	Lbody:94.002
94.XYZ	94.006
96.XYZ	96.002
99.XYZ	99.002
101.XYZ	101.002
102.XYZ	102.002
103.XYZ	103.002
103.XYZ	103.004
105.XYZ	105.002
113.XYZ	113.002
123.XYZ	123.002
125.XYZ	125.002
126.XYZ	126.002
127.XYZ	127.002
128.XYZ	128.002
129.XYZ	129.002
130.XYZ	130.002
135.XYZ	135.002
136.XYZ	136.002
138.XYZ	138.002
145.XYZ	145.002
145.XYZ	145.004
148.XYZ	148.002
149.XYZ	149.002
149.XYZ	149.004
153.XYZ	153.002
153.XYZ	153.004
153.XYZ	153.006
160.XYZ	160.002
164.XYZ	164.002
166.XYZ	166.002
168.XYZ	168.002
170.XYZ	170.004
170.XYZ	170.006
173.XYZ	173.002
176.XYZ	176.002
180.XYZ	180.002
181.XYZ	181.002
184.XYZ	184.002
190.XYZ	190.002
191.XYZ	191.002
191.XYZ	191.004
195.XYZ	195.002
195.XYZ	195.004
Lbody:195.XYZ	Lbody:195.002
206.XYZ	206.002
207.XYZ	207.002
212.XYZ	212.002
212.XYZ	212.004
226.XYZ	226.002
226.XYZ	226.004
Lbody:226.XYZ	Lbody:226.002
226.XYZ	226.006
229.XYZ	229.002
230.XYZ	230.002
230.XYZ	230.004
231.XYZ	231.002
236.XYZ	236.002
255.XYZ	255.002
255.XYZ	255.004
257.XYZ	257.002
257.XYZ	257.004
258.XYZ	258.002
258.XYZ	258.004
261.XYZ	261.002
261.XYZ	261.004
261.XYZ	261.006
265.XYZ	265.002
268.XYZ	268.002
268.XYZ	268.004
268.XYZ	268.006
269.XYZ	269.002
275.XYZ	275.002
275.XYZ	275.004
276.XYZ	276.002
278.XYZ	278.002
278.XYZ	278.004
279.XYZ	279.002
284.XYZ	284.002
285.XYZ	285.002
286.XYZ	286.002
286.XYZ	286.004
Lbody:286.XYZ	Lbody:286.002
294.XYZ	294.002
305.XYZ	305.002
313.XYZ	313.002
313.XYZ	313.004
319.XYZ	319.004
319.XYZ	319.006
320.XYZ	320.004
325.XYZ	325.002
325.XYZ	325.004
Lbody:325.XYZ	Lbody:325.002
325.XYZ	325.006
353.XYZ	353.002
356.XYZ	356.002
360.XYZ	360.002
360.XYZ	360.004
360.XYZ	360.006
361.XYZ	361.004
361.XYZ	361.006
Lbody:361.XYZ	Lbody:361.004
366.XYZ	366.004
369.XYZ	369.002
379.XYZ	379.002
382.XYZ	382.002
385.XYZ	385.002
392.XYZ	392.002
394.XYZ	394.002
396.XYZ	396.002
402.XYZ	402.002
407.XYZ	407.002
409.XYZ	409.002
414.XYZ	414.002
415.XYZ	415.002
416.XYZ	416.002
417.XYZ	417.002
417.XYZ	417.004
419.XYZ	419.002
421.XYZ	421.002
425.XYZ	425.002
430.XYZ	430.002
433.XYZ	433.002
437.XYZ	437.002
440.XYZ	440.002
441.XYZ	441.002
443.XYZ	443.002
443.XYZ	443.004
443.XYZ	443.006
443.XYZ	443.008
445.XYZ	445.002
451.XYZ	451.002
451.XYZ	451.004
Lbody:451.XYZ	Lbody:451.002
452.XYZ	452.002
453.XYZ	453.002
457.XYZ	457.002
467.XYZ	467.002
467.XYZ	467.004
472.XYZ	472.002
472.XYZ	472.004
