Lnum	basehw	suffix	resolution
17	aMsaH	sO	aMsO
206.024	agaja	jam	agajam
233.020	agUQaganDa	nDaH	agUQaganDaH
243.038	agnyADeyaH	yama	None
243.088	agnigarBa	rBA	agnigarBA
243.108	agnija	jaH	agnijaH
243.108	agnija	jAtaH	None
243.108	agnija	jam	agnijam
243.108	agnija	jAtama	None
243.114	agnijihva	hvA	agnijihvA
243.122	agnitejas	s	agnitejas
243.122	agnitejas	s	agnitejas
243.136	agnidIpta	ptA	agnidIptA
243.202	agniBUti	tiH	agniBUtiH
243.210	agnimanTaH	nTaH	agnimanTaH
243.220	agnimuKaH	KaH	agnimuKaH
243.220	agnimuKaH	KI	agnimuKI
243.258	agnivarRa	rRA	agnivarRA
243.260	agnivarDaka	kaH	agnivarDakaH
243.298	agniSiKa	KaH	agniSiKaH
243.298	agniSiKa	Kam	agniSiKam
243.298	agniSiKa	KA	agniSiKA
243.302	agniSeKara	raH	agniSeKaraH
243.302	agniSeKara	ram	agniSeKaram
243.326	agnisamBava	vam	agnisamBavam
243.330	agnisAram	raH	agnisAraH
243.330	agnisAram	ram	agnisAram
243.356	agnihotram	tra	agnihotra
255.052	agraja	jaH	agrajaH
255.052	agraja	jA	agrajA
255.090	agrabIja	jaH	agrabIjaH
255.110	agrayAna	nam	agrayAnam
256.020	agrataHsara	raH	agrataHsaraH
260.026	agrediDizuH	zUH	None
268.030	aGanASA	naH	None
281.046	aNkapUraRam	banDaH	None
305.034	aNgaja	jaH	aNgajaH
305.034	aNgaja	jA	aNgajA
305.034	aNgaja	jam	aNgajam
305.052	aNgaBUH	BUH	aNgaBUH
305.072	aNgarakzaRI	Ram	None
315.022	aNganApriya	yaH	aNganApriyaH
319.032	aNgAraparRam	rRaH	aNgAraparRaH
341.042	aNgulisaNgA	NgaH	aNgulisaNNgaH
341.048	aNgulisaMBUta	taH	aNgulisaMBUtaH
360.030	acalaja	jA	acalajA
360.030	acalaja	jAtA	None
379.020	acCodan	dA	None
379.020	acCodan	daM	None
394.028	ajASvam	SvaH	ajASvaH
394.046	ajagaraH	rI	ajagarI
394.082	ajamuKa	KI	ajamuKI
432.020	ajAtAri	riH	ajAtAriH
