Lnum	basehw	suffix	resolution	in_sanhw1
17	aMsaH	sO	aMsO	False
206.024	agaja	jam	agajam	True
233.020	agUQaganDa	nDaH	agUQaganDaH	True
243.038	agnyADeyaH	yama	None	False
243.088	agnigarBa	rBA	agnigarBA	True
243.108	agnija	jaH	agnijaH	True
243.108	agnija	jAtaH	None	False
243.108	agnija	jam	agnijam	True
243.108	agnija	jAtama	None	False
243.114	agnijihva	hvA	agnijihvA	True
243.122	agnitejas	s	agnitejas	True
243.122	agnitejas	s	agnitejas	True
243.136	agnidIpta	ptA	agnidIptA	True
243.202	agniBUti	tiH	agniBUtiH	True
243.210	agnimanTaH	nTaH	agnimanTaH	True
243.220	agnimuKaH	KaH	agnimuKaH	True
243.220	agnimuKaH	KI	agnimuKI	True
243.258	agnivarRa	rRA	agnivarRA	True
243.260	agnivarDaka	kaH	agnivarDakaH	True
243.298	agniSiKa	KaH	agniSiKaH	True
243.298	agniSiKa	Kam	agniSiKam	True
243.298	agniSiKa	KA	agniSiKA	True
243.302	agniSeKara	raH	agniSeKaraH	True
243.302	agniSeKara	ram	agniSeKaram	True
243.326	agnisamBava	vam	agnisamBavam	True
243.330	agnisAram	raH	agnisAraH	True
243.330	agnisAram	ram	agnisAram	True
243.356	agnihotram	tra	agnihotra	True
255.052	agraja	jaH	agrajaH	True
255.052	agraja	jA	agrajA	True
255.090	agrabIja	jaH	agrabIjaH	True
255.110	agrayAna	nam	agrayAnam	True
256.020	agrataHsara	raH	agrataHsaraH	True
260.026	agrediDizuH	zUH	None	False
268.030	aGanASA	naH	None	False
281.046	aNkapUraRam	banDaH	None	False
305.034	aNgaja	jaH	aNgajaH	True
305.034	aNgaja	jA	aNgajA	True
305.034	aNgaja	jam	aNgajam	True
305.052	aNgaBUH	BUH	aNgaBUH	True
305.072	aNgarakzaRI	Ram	None	False
315.022	aNganApriya	yaH	aNganApriyaH	True
319.032	aNgAraparRam	rRaH	aNgAraparRaH	True
341.042	aNgulisaNgA	NgaH	aNgulisaNNgaH	False
341.048	aNgulisaMBUta	taH	aNgulisaMBUtaH	True
360.030	acalaja	jA	acalajA	True
360.030	acalaja	jAtA	None	False
379.020	acCodan	dA	None	False
379.020	acCodan	daM	None	False
394.028	ajASvam	SvaH	ajASvaH	True
394.046	ajagaraH	rI	ajagarI	True
394.082	ajamuKa	KI	ajamuKI	True
432.020	ajAtAri	riH	ajAtAriH	True
432.020	ajAtAri	truH	None	False
445.020	ajihmaga	gaH	ajihmagaH	True
541.022	aRqAkAra	raH	aRqAkAraH	True
541.022	aRqAkAra	tiH	None	False
541.038	aRqaja	jaH	aRqajaH	True
541.038	aRqaja	jA	aRqajA	True
724.020	atiriktANga	gam	atiriktANgam	True
845.042	atyantasukumAra	raH	atyantasukumAraH	True
973.036	adButasvana	naH	adButasvanaH	True
978.028	adyaSvIna	nA	adyaSvInA	True
986.030	adrikIlA	laH	adrikIlaH	True
986.034	adrija	jA	adrijA	True
986.034	adrija	jam	adrijam	True
986.036	adrijAta	taH	adrijAtaH	True
986.064	adriBU	BUH	adriBUH	True
1010.022	aDarOzWaH	zwam	None	False
1022.020	aDokza	kzam	aDokzam	True
1022.058	aDodfzwi	zwiH	aDodfzwiH	True
1022.074	aDomuKa	KaH	aDomuKaH	True
1022.074	aDomuKa	KA	aDomuKA	True
1022.074	aDomuKa	KI	aDomuKI	True
1022.074	aDomuKa	Kam	aDomuKam	True
1022.094	aDaHSaya	yyA	None	False
1034.020	aDikANga	Ngam	aDikANgam	True
1247.028	aDvagaH	gA	aDvagA	True
1297.076	anantaSIrza	rzA	anantaSIrzA	True
1301.020	anantarajaH	jA	anantarajA	True
1308.022	ananyASrita	tam	ananyASritam	True
1308.054	ananyapUrvaH	rvA	ananyapUrvA	True
1387.020	anavadyANga	aNgI	None	False
1462.020	anAdyananta	antaH	anAdyanantaH	True
1498.020	anAyAsakfta	tam	anAyAsakftam	True
1508.022	anAryaja	jam	anAryajam	True
1611.042	anilaprakfti	tiH	anilaprakftiH	True
2298.028	anekArTa	rTaH	anekArTaH	True
2298.048	anekaja	jaH	anekajaH	True
2298.064	anekarUpa	paH	anekarUpaH	True
2328.024	antodAtta	ttaH	antodAttaH	True
2334.054	antaHkuwila	laH	antaHkuwilaH	True
2334.090	antarGaRaH	naH	None	False
2334.090	antarGaRaH	RaH	antarGaRaH	True
2334.112	antarjyotis	s	antarjyotis	True
2334.114	antarjvalanam	naH	antarjvalanaH	True
2334.116	antastApa	paH	antastApaH	True
2334.192	antaHpurikaH	kaH	antaHpurikaH	True
2334.192	antaHpurikaH	kA	antaHpurikA	True
2334.208	antarbAzpa	zpaH	antarbAzpaH	True
2334.226	antarmuKa	Kam	antarmuKam	True
2334.242	antarlamba	baH	antarlambaH	True
2334.246	antarloma	mam	antarlomam	True
2334.254	antarvaRa	Ram	antarvaRam	True
2334.284	antarvedi	diH	antarvediH	True
2334.284	antarvedi	dI	antarvedI	True
2334.314	antaHsAra	raH	antaHsAraH	True
2334.320	antaHsTa	sTaH	antaHsTaH	True
2334.320	antaHsTa	sTA	antaHsTA	True
2345	antari	ayati	None	False
2348.020	antarikzodara	ram	antarikzodaram	True
2368.020	antyUti	tiH	antyUtiH	True
2374.034	antyaja	jaH	antyajaH	True
2374.034	antyaja	jA	antyajA	True
2374.052	antyayoni	niH	antyayoniH	True
2385.022	anDAhiH	hiH	anDAhiH	True
2385.022	anDAhiH	hikaH	None	False
2385.032	anDatAmasam	sA	anDatAmasA	False
2385.036	anDatAmisraH	sram	anDatAmisram	True
2385.036	anDatAmisraH	sraH	anDatAmisraH	True
2385.036	anDatAmisraH	sram	anDatAmisram	True
2396.028	annAda	daH	annAdaH	True
2396.088	annapUrRa	rRA	annapUrRA	True
