OldL	AssignedL
17.XYZ	17.001
206.024.XYZ	206.025
233.020.XYZ	233.021
243.038.XYZ	243.039
243.088.XYZ	243.089
243.108.XYZ	243.109
243.108.XYZ	243.108.XYZ
243.108.XYZ	243.108.XYZ
243.108.XYZ	243.108.XYZ
243.114.XYZ	243.115
243.122.XYZ	243.123
243.122.XYZ	243.122.XYZ
243.136.XYZ	243.137
243.202.XYZ	243.203
243.210.XYZ	243.211
243.220.XYZ	243.221
243.220.XYZ	243.220.XYZ
243.258.XYZ	243.259
243.260.XYZ	243.261
243.298.XYZ	243.299
243.298.XYZ	243.298.XYZ
243.298.XYZ	243.298.XYZ
243.302.XYZ	243.303
243.302.XYZ	243.302.XYZ
243.326.XYZ	243.327
243.330.XYZ	243.331
243.330.XYZ	243.330.XYZ
243.356.XYZ	243.357
255.052.XYZ	255.053
255.052.XYZ	255.052.XYZ
255.090.XYZ	255.091
255.110.XYZ	255.111
256.020.XYZ	256.021
260.026.XYZ	260.027
268.030.XYZ	268.031
305.034.XYZ	305.035
305.034.XYZ	305.034.XYZ
305.034.XYZ	305.034.XYZ
305.052.XYZ	305.053
305.072.XYZ	305.073
315.022.XYZ	315.023
319.032.XYZ	319.033
341.042.XYZ	341.043
341.048.XYZ	341.049
360.030.XYZ	360.031
360.030.XYZ	360.030.XYZ
379.020.XYZ	379.021
379.020.XYZ	379.020.XYZ
394.028.XYZ	394.029
394.046.XYZ	394.047
394.082.XYZ	394.083
432.020.XYZ	432.021
432.020.XYZ	432.020.XYZ
445.020.XYZ	445.021
541.022.XYZ	541.023
541.022.XYZ	541.022.XYZ
541.038.XYZ	541.039
541.038.XYZ	541.038.XYZ
724.020.XYZ	724.021
845.042.XYZ	845.043
973.036.XYZ	973.037
978.028.XYZ	978.029
986.030.XYZ	986.031
986.034.XYZ	986.035
986.034.XYZ	986.034.XYZ
986.036.XYZ	986.037
986.064.XYZ	986.065
1010.022.XYZ	1010.023
1022.020.XYZ	1022.021
1022.058.XYZ	1022.059
1022.074.XYZ	1022.075
1022.074.XYZ	1022.074.XYZ
1022.074.XYZ	1022.074.XYZ
1022.074.XYZ	1022.074.XYZ
1022.094.XYZ	1022.095
1034.020.XYZ	1034.021
1247.028.XYZ	1247.029
1297.076.XYZ	1297.077
1301.020.XYZ	1301.021
1308.022.XYZ	1308.023
1308.054.XYZ	1308.055
1387.020.XYZ	1387.021
1462.020.XYZ	1462.021
1498.020.XYZ	1498.021
1508.022.XYZ	1508.023
1611.042.XYZ	1611.043
2298.028.XYZ	2298.029
2298.048.XYZ	2298.049
2298.064.XYZ	2298.065
2328.024.XYZ	2328.025
2334.054.XYZ	2334.055
2334.090.XYZ	2334.091
2334.090.XYZ	2334.090.XYZ
2334.112.XYZ	2334.113
2334.114.XYZ	2334.115
2334.116.XYZ	2334.117
2334.192.XYZ	2334.193
2334.192.XYZ	2334.192.XYZ
2334.208.XYZ	2334.209
2334.226.XYZ	2334.227
2334.242.XYZ	2334.243
2334.246.XYZ	2334.247
2334.254.XYZ	2334.255
2334.284.XYZ	2334.285
2334.284.XYZ	2334.284.XYZ
2334.314.XYZ	2334.315
2334.320.XYZ	2334.321
2334.320.XYZ	2334.320.XYZ
2345.XYZ	2345.001
2348.020.XYZ	2348.021
2368.020.XYZ	2368.021
2374.034.XYZ	2374.035
2374.034.XYZ	2374.034.XYZ
2374.052.XYZ	2374.053
2385.022.XYZ	2385.023
2385.022.XYZ	2385.022.XYZ
2385.032.XYZ	2385.033
2385.036.XYZ	2385.037
2385.036.XYZ	2385.036.XYZ
2385.036.XYZ	2385.036.XYZ
2396.028.XYZ	2396.029
2396.088.XYZ	2396.089
2401.026.XYZ	2401.027
2401.026.XYZ	2401.026.XYZ
2401.056.XYZ	2401.057
2401.094.XYZ	2401.095
2403.020.XYZ	2403.021
2408.030.XYZ	2408.031
2411.022.XYZ	2411.023
2420.026.XYZ	2420.027
2600.026.XYZ	2600.027
2610.020.XYZ	2610.021
2690.024.XYZ	2690.025
2690.050.XYZ	2690.051
3017.020.XYZ	3017.021
3017.020.XYZ	3017.020.XYZ
3025.020.XYZ	3025.021
3138.020.XYZ	3138.021
3206.020.XYZ	3206.021
3229.006.XYZ	3229.007
3253.020.XYZ	3253.021
3253.020.XYZ	3253.020.XYZ
3259.044.XYZ	3259.045
3269.026.XYZ	3269.027
3269.028.XYZ	3269.029
3269.028.XYZ	3269.028.XYZ
3290.028.XYZ	3290.029
3592.XYZ	3592.001
3592.XYZ	3592.002
3934.024.XYZ	3934.025
4096.044.XYZ	4096.045
4096.060.XYZ	4096.061
4189.024.XYZ	4189.025
4218.020.XYZ	4218.021
4229.058.XYZ	4229.059
4229.060.XYZ	4229.061
4229.074.XYZ	4229.075
4229.078.XYZ	4229.079
4229.086.XYZ	4229.087
4229.088.XYZ	4229.089
4229.098.XYZ	4229.099
4229.098.XYZ	4229.098.XYZ
4229.122.XYZ	4229.123
4229.132.XYZ	4229.133
4229.140.XYZ	4229.141
4275.050.XYZ	4275.051
4275.050.XYZ	4275.050.XYZ
4275.058.XYZ	4275.059
4275.076.XYZ	4275.077
4275.092.XYZ	4275.093
4275.102.XYZ	4275.103
4275.116.XYZ	4275.117
4282.020.XYZ	4282.021
4282.020.XYZ	4282.020.XYZ
4282.020.XYZ	4282.020.XYZ
4289.054.XYZ	4289.055
4289.062.XYZ	4289.063
4289.068.XYZ	4289.069
4289.092.XYZ	4289.093
4289.094.XYZ	4289.095
4313.026.XYZ	4313.027
4313.028.XYZ	4313.029
4323.XYZ	4323.001
4323.056.XYZ	4323.057
4323.080.XYZ	4323.081
4331.022.XYZ	4331.023
4371.020.XYZ	4371.021
4371.020.XYZ	4371.020.XYZ
4381.XYZ	4381.001
4388.090.XYZ	4388.091
4394.020.XYZ	4394.021
4418.XYZ	4418.001
4418.XYZ	4418.XYZ
4465.028.XYZ	4465.029
4478.030.XYZ	4478.031
4478.034.XYZ	4478.035
4478.052.XYZ	4478.053
4478.060.XYZ	4478.061
4490.XYZ	4490.001
4490.020.XYZ	4490.021
4490.020.XYZ	4490.020.XYZ
4516.046.XYZ	4516.047
4516.048.XYZ	4516.049
4516.066.XYZ	4516.067
4516.070.XYZ	4516.071
4516.070.XYZ	4516.070.XYZ
4516.070.XYZ	4516.070.XYZ
4516.078.XYZ	4516.079
4544.XYZ	4544.001
4548.XYZ	4548.001
4555.022.XYZ	4555.023
4555.022.XYZ	4555.022.XYZ
4555.024.XYZ	4555.025
4555.024.XYZ	4555.024.XYZ
4564.100.XYZ	4564.101
4564.104.XYZ	4564.105
4567.XYZ	4567.001
4582.034.XYZ	4582.035
4582.058.XYZ	4582.059
4582.088.XYZ	4582.089
4582.088.XYZ	4582.088.XYZ
4582.094.XYZ	4582.095
4582.094.XYZ	4582.094.XYZ
4582.146.XYZ	4582.147
4582.234.XYZ	4582.235
4613.030.XYZ	4613.031
4620.020.XYZ	4620.021
4620.020.XYZ	4620.020.XYZ
4620.024.XYZ	4620.025
4662.046.XYZ	4662.047
4698.032.XYZ	4698.033
4698.032.XYZ	4698.032.XYZ
4742.028.XYZ	4742.029
4742.032.XYZ	4742.033
4742.054.XYZ	4742.055
4742.064.XYZ	4742.065
4742.090.XYZ	4742.091
4742.090.XYZ	4742.090.XYZ
4742.096.XYZ	4742.097
4742.118.XYZ	4742.119
4792.XYZ	4792.001
5146.020.XYZ	5146.021
5160.XYZ	5160.001
5160.XYZ	5160.002
5170.020.XYZ	5170.021
5170.024.XYZ	5170.025
5170.030.XYZ	5170.031
5170.036.XYZ	5170.037
5170.042.XYZ	5170.043
5209.XYZ	5209.001
5428.028.XYZ	5428.029
5465.042.XYZ	5465.043
5513.XYZ	5513.001
5637.XYZ	5637.001
5698.032.XYZ	5698.033
5698.040.XYZ	5698.041
5698.040.XYZ	5698.040.XYZ
5721.020.XYZ	5721.021
5850.026.XYZ	5850.027
5850.026.XYZ	5850.026.XYZ
5850.062.XYZ	5850.063
5850.086.XYZ	5850.087
5850.086.XYZ	5850.086.XYZ
5882.XYZ	5882.001
5890.038.XYZ	5890.039
5890.038.XYZ	5890.038.XYZ
5890.052.XYZ	5890.053
5890.066.XYZ	5890.067
5890.150.XYZ	5890.151
5890.174.XYZ	5890.175
5890.174.XYZ	5890.174.XYZ
5890.180.XYZ	5890.181
5890.180.XYZ	5890.180.XYZ
5890.180.XYZ	5890.180.XYZ
5890.192.XYZ	5890.193
5890.284.XYZ	5890.285
5890.286.XYZ	5890.287
5923.020.XYZ	5923.021
5923.022.XYZ	5923.023
5923.048.XYZ	5923.049
5923.050.XYZ	5923.051
5923.050.XYZ	5923.050.XYZ
5923.054.XYZ	5923.055
5923.068.XYZ	5923.069
5923.106.XYZ	5923.107
5923.106.XYZ	5923.106.XYZ
5923.128.XYZ	5923.129
6014.024.XYZ	6014.025
6014.058.XYZ	6014.059
6014.062.XYZ	6014.063
6017.XYZ	6017.001
6135.046.XYZ	6135.047
6135.046.XYZ	6135.046.XYZ
6135.066.XYZ	6135.067
6139.038.XYZ	6139.039
6145.XYZ	6145.001
6145.030.XYZ	6145.031
6145.038.XYZ	6145.039
6157.046.XYZ	6157.047
6225.074.XYZ	6225.075
6265.020.XYZ	6265.021
6298.034.XYZ	6298.035
6298.042.XYZ	6298.043
6298.058.XYZ	6298.059
6300.024.XYZ	6300.025
6310.038.XYZ	6310.039
6310.108.XYZ	6310.109
6310.124.XYZ	6310.125
6319.002.XYZ	6319.003
6382.030.XYZ	6382.031
6382.030.XYZ	6382.030.XYZ
6487.022.XYZ	6487.023
6561.004.XYZ	6561.004.XYZ
6682.034.XYZ	6682.035
6688.028.XYZ	6688.029
6722.022.XYZ	6722.023
6722.022.XYZ	6722.024
6780.020.XYZ	6780.021
6780.030.XYZ	6780.031
6780.038.XYZ	6780.039
6780.044.XYZ	6780.045
6780.044.XYZ	6780.044.XYZ
6780.050.XYZ	6780.051
6780.062.XYZ	6780.063
6780.100.XYZ	6780.101
6780.152.XYZ	6780.153
6780.154.XYZ	6780.155
6780.156.XYZ	6780.157
6780.156.XYZ	6780.156.XYZ
6780.194.XYZ	6780.195
6780.208.XYZ	6780.209
6780.214.XYZ	6780.215
6780.242.XYZ	6780.243
6780.252.XYZ	6780.253
6780.262.XYZ	6780.263
6821.020.XYZ	6821.020.XYZ
6821.066.XYZ	6821.067
6821.068.XYZ	6821.069
6821.068.XYZ	6821.068.XYZ
6821.068.XYZ	6821.068.XYZ
6829.026.XYZ	6829.027
6934.020.XYZ	6934.021
6934.020.XYZ	6934.020.XYZ
6940.046.XYZ	6940.047
6940.050.XYZ	6940.051
7057.026.XYZ	7057.027
7079.032.XYZ	7079.033
7180.XYZ	7180.001
7256.XYZ	7256.001
7263.XYZ	7263.001
7308.XYZ	7308.001
7324.022.XYZ	7324.023
7414.002.XYZ	7414.003
7533.020.XYZ	7533.021
7538.046.XYZ	7538.047
7538.056.XYZ	7538.057
7538.060.XYZ	7538.061
7598.XYZ	7598.001
7745.XYZ	7745.001
7797.042.XYZ	7797.043
7812.030.XYZ	7812.031
7812.034.XYZ	7812.035
7838.024.XYZ	7838.025
7838.024.XYZ	7838.024.XYZ
7874.020.XYZ	7874.021
7874.020.XYZ	7874.020.XYZ
7883.XYZ	7883.001
8041.XYZ	8041.001
8130.028.XYZ	8130.029
8167.022.XYZ	8167.023
8171.026.XYZ	8171.027
8171.030.XYZ	8171.031
8176.032.XYZ	8176.033
8176.032.XYZ	8176.032.XYZ
8176.048.XYZ	8176.049
8176.054.XYZ	8176.055
8176.100.XYZ	8176.101
8176.154.XYZ	8176.155
8184.036.XYZ	8184.037
8184.054.XYZ	8184.055
8215.022.XYZ	8215.023
8215.024.XYZ	8215.025
8216.XYZ	8216.001
8260.030.XYZ	8260.031
8260.030.XYZ	8260.030.XYZ
8269.028.XYZ	8269.029
8269.048.XYZ	8269.049
8312.XYZ	8312.001
8312.XYZ	8312.002
8355.024.XYZ	8355.025
8355.040.XYZ	8355.041
8355.048.XYZ	8355.049
8356.022.XYZ	8356.023
8381.XYZ	8381.001
8390.028.XYZ	8390.029
8390.028.XYZ	8390.028.XYZ
8390.028.XYZ	8390.028.XYZ
8390.062.XYZ	8390.063
8390.082.XYZ	8390.083
8399.034.XYZ	8399.035
8404.024.XYZ	8404.025
8404.038.XYZ	8404.039
8428.XYZ	8428.001
8526.024.XYZ	8526.025
8527.XYZ	8527.001
8659.030.XYZ	8659.031
8659.032.XYZ	8659.033
8659.032.XYZ	8659.032.XYZ
8659.036.XYZ	8659.037
8677.022.XYZ	8677.023
8677.058.XYZ	8677.059
8677.060.XYZ	8677.061
8677.060.XYZ	8677.060.XYZ
8677.130.XYZ	8677.131
8677.130.XYZ	8677.130.XYZ
8677.140.XYZ	8677.141
8677.200.XYZ	8677.201
8677.204.XYZ	8677.205
8823.022.XYZ	8823.023
8833.XYZ	8833.001
8870.064.XYZ	8870.065
8897.056.XYZ	8897.057
8897.084.XYZ	8897.085
8897.088.XYZ	8897.089
8897.106.XYZ	8897.107
8911.038.XYZ	8911.039
8911.046.XYZ	8911.047
9028.XYZ	9028.001
9143.020.XYZ	9143.021
9310.030.XYZ	9310.031
9678.XYZ	9678.001
9845.020.XYZ	9845.021
10254.XYZ	10254.001
10254.028.XYZ	10254.029
10254.036.XYZ	10254.037
10255.032.XYZ	10255.033
10273.XYZ	10273.001
10293.XYZ	10293.001
10293.XYZ	10293.002
10293.030.XYZ	10293.031
10293.032.XYZ	10293.033
10293.036.XYZ	10293.037
10293.062.XYZ	10293.063
10293.062.XYZ	10293.062.XYZ
10419.028.XYZ	10419.029
10463.050.XYZ	10463.051
10483.022.XYZ	10483.023
10483.038.XYZ	10483.039
10483.050.XYZ	10483.051
10483.056.XYZ	10483.057
10483.062.XYZ	10483.063
10483.062.XYZ	10483.062.XYZ
10483.084.XYZ	10483.085
10483.108.XYZ	10483.109
10483.130.XYZ	10483.131
10499.XYZ	10499.001
10507.026.XYZ	10507.027
10632.002.XYZ	10632.003
10632.022.XYZ	10632.023
10632.024.XYZ	10632.025
10632.026.XYZ	10632.027
10632.028.XYZ	10632.029
10632.032.XYZ	10632.033
10632.032.XYZ	10632.032.XYZ
10632.046.XYZ	10632.047
10632.046.XYZ	10632.046.XYZ
10632.046.XYZ	10632.046.XYZ
10632.046.XYZ	10632.046.XYZ
10632.046.XYZ	10632.046.XYZ
10632.046.XYZ	10632.046.XYZ
10632.056.XYZ	10632.057
10632.064.XYZ	10632.065
10632.068.XYZ	10632.069
10632.082.XYZ	10632.083
