£  (\u00a3)     1 := POUND SIGN
¦  (\u00a6) 36698 := BROKEN BAR
§  (\u00a7)     1 := SECTION SIGN
¯  (\u00af)     2 := MACRON
°  (\u00b0)  4253 := DEGREE SIGN
²  (\u00b2) 90767 := SUPERSCRIPT TWO
³  (\u00b3)  1186 := SUPERSCRIPT THREE
¼  (\u00bc)     6 := VULGAR FRACTION ONE QUARTER
½  (\u00bd)    13 := VULGAR FRACTION ONE HALF
¾  (\u00be)     1 := VULGAR FRACTION THREE QUARTERS
×  (\u00d7)     2 := MULTIPLICATION SIGN
ñ  (\u00f1)   268 := LATIN SMALL LETTER N WITH TILDE
Ā  (\u0100)  1339 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101) 16671 := LATIN SMALL LETTER A WITH MACRON
Ī  (\u012a)    27 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b)  2122 := LATIN SMALL LETTER I WITH MACRON
Ś  (\u015a)  8949 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b)  1464 := LATIN SMALL LETTER S WITH ACUTE
Ū  (\u016a)     4 := LATIN CAPITAL LETTER U WITH MACRON
ū  (\u016b)   661 := LATIN SMALL LETTER U WITH MACRON
˘  (\u02d8)     1 := BREVE
Ḍ  (\u1e0c)     2 := LATIN CAPITAL LETTER D WITH DOT BELOW
ḍ  (\u1e0d)   497 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)     1 := LATIN SMALL LETTER H WITH DOT BELOW
ṃ  (\u1e43)   194 := LATIN SMALL LETTER M WITH DOT BELOW
ṅ  (\u1e45)   629 := LATIN SMALL LETTER N WITH DOT ABOVE
ṇ  (\u1e47)  4330 := LATIN SMALL LETTER N WITH DOT BELOW
Ṛ  (\u1e5a)   367 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ  (\u1e5b)  1287 := LATIN SMALL LETTER R WITH DOT BELOW
Ṣ  (\u1e62)     4 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63)  2928 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (\u1e6c)     1 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (\u1e6d)   574 := LATIN SMALL LETTER T WITH DOT BELOW
‘  (\u2018)  2528 := LEFT SINGLE QUOTATION MARK
’  (\u2019)  2514 := RIGHT SINGLE QUOTATION MARK
“  (\u201c)    35 := LEFT DOUBLE QUOTATION MARK
”  (\u201d)    35 := RIGHT DOUBLE QUOTATION MARK
‡  (\u2021)     4 := DOUBLE DAGGER
…  (\u2026)   909 := HORIZONTAL ELLIPSIS
€  (\u20ac)  3072 := EURO SIGN
卐  (\u5350)     1 := CJK UNIFIED IDEOGRAPH-5350
