¦  (\u00a6) 36688 := BROKEN BAR
§  (\u00a7)     1 := SECTION SIGN
°  (\u00b0)     3 := DEGREE SIGN
²  (\u00b2) 91497 := SUPERSCRIPT TWO
³  (\u00b3)  1187 := SUPERSCRIPT THREE
¹  (\u00b9)    15 := SUPERSCRIPT ONE
¼  (\u00bc)     6 := VULGAR FRACTION ONE QUARTER
½  (\u00bd)    11 := VULGAR FRACTION ONE HALF
¾  (\u00be)     1 := VULGAR FRACTION THREE QUARTERS
×  (\u00d7)     2 := MULTIPLICATION SIGN
ñ  (\u00f1)   271 := LATIN SMALL LETTER N WITH TILDE
Ā  (\u0100)  1440 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101) 16767 := LATIN SMALL LETTER A WITH MACRON
Ī  (\u012a)    27 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b)  2132 := LATIN SMALL LETTER I WITH MACRON
Ś  (\u015a)  8974 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b)  1473 := LATIN SMALL LETTER S WITH ACUTE
Ū  (\u016a)     4 := LATIN CAPITAL LETTER U WITH MACRON
ū  (\u016b)   670 := LATIN SMALL LETTER U WITH MACRON
ʼ  (\u02bc)  2067 := MODIFIER LETTER APOSTROPHE
˚  (\u02da)  5125 := RING ABOVE
Ḍ  (\u1e0c)     2 := LATIN CAPITAL LETTER D WITH DOT BELOW
ḍ  (\u1e0d)   503 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)     3 := LATIN SMALL LETTER H WITH DOT BELOW
ṃ  (\u1e43)   199 := LATIN SMALL LETTER M WITH DOT BELOW
ṅ  (\u1e45)   637 := LATIN SMALL LETTER N WITH DOT ABOVE
ṇ  (\u1e47)  4350 := LATIN SMALL LETTER N WITH DOT BELOW
Ṛ  (\u1e5a)   368 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ  (\u1e5b)  1286 := LATIN SMALL LETTER R WITH DOT BELOW
Ṣ  (\u1e62)     4 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63)  2941 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (\u1e6c)     1 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (\u1e6d)   581 := LATIN SMALL LETTER T WITH DOT BELOW
–  (\u2013)     2 := EN DASH
‘  (\u2018)  2827 := LEFT SINGLE QUOTATION MARK
’  (\u2019)  2827 := RIGHT SINGLE QUOTATION MARK
“  (\u201c)    35 := LEFT DOUBLE QUOTATION MARK
”  (\u201d)    35 := RIGHT DOUBLE QUOTATION MARK
…  (\u2026)   909 := HORIZONTAL ELLIPSIS
⁄  (\u2044)    18 := FRACTION SLASH
⁴  (\u2074)     1 := SUPERSCRIPT FOUR
⁵  (\u2075)     1 := SUPERSCRIPT FIVE
₀  (\u2080)     6 := SUBSCRIPT ZERO
₁  (\u2081)     8 := SUBSCRIPT ONE
₂  (\u2082)     1 := SUBSCRIPT TWO
₃  (\u2083)     2 := SUBSCRIPT THREE
₄  (\u2084)     1 := SUBSCRIPT FOUR
₅  (\u2085)     3 := SUBSCRIPT FIVE
₆  (\u2086)     7 := SUBSCRIPT SIX
₇  (\u2087)     1 := SUBSCRIPT SEVEN
₈  (\u2088)     4 := SUBSCRIPT EIGHT
€  (\u20ac)  4375 := EURO SIGN
⅓  (\u2153)     1 := VULGAR FRACTION ONE THIRD
⏑  (\u23d1)     1 := METRICAL BREVE
卐  (\u5350)     1 := CJK UNIFIED IDEOGRAPH-5350
ꣲ  (\ua8f2)     1 := DEVANAGARI SIGN SPACING CANDRABINDU
ꣳ  (\ua8f3)     1 := DEVANAGARI SIGN CANDRABINDU VIRAMA
